date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days,year,quarter,day_of_month,week_of_year,units_sold_lag_7,units_sold_lag_14,units_sold_rolling_mean_7,units_sold_rolling_std_7,units_sold_rolling_mean_30,units_sold_rolling_std_30,is_weekend,day_of_month_sin,day_of_month_cos,month_sin,month_cos,quarter_sin,quarter_cos,price_category,stock_ratio,needs_reorder,category_Apparel,category_Beauty,category_Electronics,category_Home,category_Sports,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,product_id_encoded,price_category_encoded
2022-01-04,P001,Electronics,15.0,23742.12,104,45,0,0.0,Tuesday,1,13,2022,1,4,1,,,,,,,0,0.72479278722912,0.6889669190756866,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,High,2.260869565217391,0,False,False,True,False,False,False,False,False,False,False,True,False,0,0
2022-01-17,P001,Electronics,11.0,23676.7,93,45,0,0.0,Monday,1,13,2022,1,17,3,,,15.0,,15.0,,0,-0.2993631229733582,-0.9541392564000488,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,High,2.0217391304347827,0,False,False,True,False,False,False,True,False,False,False,False,False,0,0
2022-01-20,P001,Electronics,17.0,24481.04,76,45,0,0.0,Thursday,1,13,2022,1,20,3,,,13.0,2.8284271247461903,13.0,2.8284271247461903,0,-0.7907757369376986,-0.6121059825476627,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,Very High,1.6521739130434783,0,False,False,True,False,False,False,False,False,False,True,False,False,0,3
2022-01-21,P001,Electronics,8.0,23966.78,68,45,0,0.0,Friday,1,13,2022,1,21,3,,,14.333333333333334,3.055050463303893,14.333333333333334,3.055050463303893,0,-0.8978045395707417,-0.44039415155763423,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,High,1.4782608695652173,0,False,False,True,False,False,True,False,False,False,False,False,False,0,0
2022-01-25,P001,Electronics,9.0,24737.96,59,45,0,0.0,Tuesday,1,13,2022,1,25,4,,,12.75,4.031128874149275,12.75,4.031128874149275,0,-0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,Very High,1.2826086956521738,0,False,False,True,False,False,False,False,False,False,False,True,False,0,3
2022-01-30,P001,Electronics,25.0,24872.44,209,45,0,0.0,Sunday,1,13,2022,1,30,4,,,12.0,3.872983346207417,12.0,3.872983346207417,1,-0.20129852008866114,0.9795299412524943,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,Very High,4.543478260869565,0,False,False,True,False,False,False,False,False,True,False,False,False,0,3
2022-02-06,P001,Electronics,20.0,24711.64,189,45,0,0.0,Sunday,2,13,2022,1,6,5,,,14.166666666666666,6.337717780610515,14.166666666666666,6.337717780610515,1,0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,Very High,4.108695652173913,0,False,False,True,False,False,False,False,False,True,False,False,False,0,3
2022-02-16,P001,Electronics,20.0,23579.18,173,45,0,0.0,Wednesday,2,13,2022,1,16,7,15.0,,15.0,6.191391873668904,15.0,6.191391873668904,0,-0.10116832198743204,-0.9948693233918952,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,High,3.760869565217391,0,False,False,True,False,False,False,False,False,False,False,False,True,0,0
2022-02-18,P001,Electronics,9.0,24401.76,164,45,0,0.0,Friday,2,13,2022,1,18,7,11.0,,15.714285714285714,6.473388749701496,15.625,5.9985117201805025,0,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,Very High,3.5652173913043477,0,False,False,True,False,False,True,False,False,False,False,False,False,0,3
2022-02-27,P001,Electronics,15.0,24474.52,149,45,0,0.0,Sunday,2,13,2022,1,27,8,17.0,,15.428571428571429,6.754187413675136,14.88888888888889,6.030017505041848,1,-0.72479278722912,0.6889669190756865,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,Very High,3.239130434782609,0,False,False,True,False,False,False,False,False,True,False,False,False,0,3
